FFU Air Flow Rate [kg/s],ULPA Pressure Drop [Pa],Cleanroom Overpressure [Pa],Process Exhaust [kg/s],Cooling Bifurcation Temperature [C],Chiller [MWha],LT Chiller [MWha],Booster Heat Pump [MWha],Hot Water Pump [MWha],Heat Recovery Water Pump [MWha],Chilled Water to Fab Pump [MWha],Chilled Water to PCW Pump [MWha],LT Chilled Water To Fab Pump [MWha],LT Chilled Water To PCW Pump [MWha],Cooling Water For Chiller Pump [MWha],Cooling Water For LT Chiller Pump [MWha],Cleanroom MAU Fan [MWha],Cleanroom Exhaust Fan [MWha],Cleanroom FFU Fan [MWha],Chem Room AHU Fan [MWha],Fac AHU Fan [MWha],Fac Recirculation Fan [MWha],Total [MWha]
302.97456,60,30,115,15,5915.574499,1641.87963,243.5749305,34.1521074,669.9782703,701.2966973,551.88,247.1731224,40.76028,1702.067181,338.0491637,3182.815819,530.564,353.8742861,280.9329664,312.3965504,1.752,16748.7215
302.97456,60,30,115,17.5,5862.432861,1830.125611,243.4051663,34.14993051,669.5390144,665.7228496,551.88,256.4088986,40.76028,1694.080717,340.7331883,3182.815819,530.564,353.8742861,280.9329664,312.3965504,1.752,16851.57414
302.97456,60,30,115,20,5836.460114,2287.103101,244.224762,34.16692887,669.5004513,656.4922839,551.88,259.9171724,40.76028,1690.168838,339.8277652,3182.815819,530.564,353.8742861,280.9329664,312.3965504,1.752,17272.83732
302.97456,60,30,115,22.5,5821.994722,2248.665109,243.9817064,34.16478832,669.5207323,653.218935,551.88,261.2568142,40.76028,1688.021014,339.2668171,3182.815819,530.564,353.8742861,280.9329664,312.3965504,1.752,17215.06654
302.97456,60,30,115,25,5815.676018,2481.154209,243.6888928,34.14672582,669.413405,652.154626,551.88,261.3414542,40.76028,1687.084204,338.7638056,3182.815819,530.564,353.8742861,280.9329664,312.3965504,1.752,17438.39924
302.97456,35,30,129.55,15,5926.824396,1729.257978,246.9991346,34.5435147,676.5199859,708.9752581,551.88,256.5456129,40.76028,1703.728695,340.7648962,3544.286707,597.69188,206.4266669,280.9329664,312.3965504,1.752,17160.28652
302.97456,35,30,129.55,17.5,5867.83378,1963.401882,246.5979896,34.54273251,676.4018449,667.8313956,551.88,266.331201,40.76028,1694.870778,342.4824928,3544.286707,597.69188,206.4266669,280.9329664,312.3965504,1.752,17296.42115
302.97456,35,30,129.55,20,5837.779057,2595.695858,246.7689464,34.54141172,676.5574286,656.9299653,551.88,271.0664324,40.76028,1690.36446,340.8957655,3544.286707,597.69188,206.4266669,280.9329664,312.3965504,1.752,17886.72638
302.97456,35,30,129.55,22.5,5823.594809,3362.707042,246.8471746,34.54657591,676.4454799,653.5154165,551.88,273.6349194,40.76028,1688.253108,340.4063982,3544.286707,597.69188,206.4266669,280.9329664,312.3965504,1.752,18636.07797
302.97456,35,30,129.55,25,5816.676744,3186.146353,247.6801656,34.56462109,676.6074335,652.2952798,551.88,272.7502457,40.76028,1687.232256,340.1376035,3544.286707,597.69188,206.4266669,280.9329664,312.3965504,1.752,18450.21775
302.97456,45,30,129.55,15,5926.824396,1729.257978,246.9991346,34.5435147,676.5199859,708.9752581,551.88,256.5456129,40.76028,1703.728695,340.7648962,3544.286707,597.69188,265.4057146,280.9329664,312.3965504,1.752,17219.26557
302.97456,45,30,129.55,17.5,5867.83378,1963.401882,246.5979896,34.54273251,676.4018449,667.8313956,551.88,266.331201,40.76028,1694.870778,342.4824928,3544.286707,597.69188,265.4057146,280.9329664,312.3965504,1.752,17355.4002
302.97456,45,30,129.55,20,5837.779057,2595.695858,246.7689464,34.54141172,676.5574286,656.9299653,551.88,271.0664324,40.76028,1690.36446,340.8957655,3544.286707,597.69188,265.4057146,280.9329664,312.3965504,1.752,17945.70542
302.97456,45,30,129.55,22.5,5823.594809,3362.707042,246.8471746,34.54657591,676.4454799,653.5154165,551.88,273.6349194,40.76028,1688.253108,340.4063982,3544.286707,597.69188,265.4057146,280.9329664,312.3965504,1.752,18695.05702
302.97456,45,30,129.55,25,5816.676744,3186.146353,247.6801656,34.56462109,676.6074335,652.2952798,551.88,272.7502457,40.76028,1687.232256,340.1376035,3544.286707,597.69188,265.4057146,280.9329664,312.3965504,1.752,18509.1968
302.97456,50,30,129.55,15,5926.824396,1729.257978,246.9991346,34.5435147,676.5199859,708.9752581,551.88,256.5456129,40.76028,1703.728695,340.7648962,3544.286707,597.69188,294.8952384,280.9329664,312.3965504,1.752,17248.75509
302.97456,50,30,129.55,17.5,5867.83378,1963.401882,246.5979896,34.54273251,676.4018449,667.8313956,551.88,266.331201,40.76028,1694.870778,342.4824928,3544.286707,597.69188,294.8952384,280.9329664,312.3965504,1.752,17384.88972
302.97456,50,30,129.55,20,5837.779057,2595.695858,246.7689464,34.54141172,676.5574286,656.9299653,551.88,271.0664324,40.76028,1690.36446,340.8957655,3544.286707,597.69188,294.8952384,280.9329664,312.3965504,1.752,17975.19495
302.97456,50,30,129.55,22.5,5823.594809,3362.707042,246.8471746,34.54657591,676.4454799,653.5154165,551.88,273.6349194,40.76028,1688.253108,340.4063982,3544.286707,597.69188,294.8952384,280.9329664,312.3965504,1.752,18724.54655
302.97456,50,30,129.55,25,5816.676744,3186.146353,247.6801656,34.56462109,676.6074335,652.2952798,551.88,272.7502457,40.76028,1687.232256,340.1376035,3544.286707,597.69188,294.8952384,280.9329664,312.3965504,1.752,18538.68632
302.97456,57.5,30,129.55,15,5926.824396,1729.257978,246.9991346,34.5435147,676.5199859,708.9752581,551.88,256.5456129,40.76028,1703.728695,340.7648962,3544.286707,597.69188,339.1295242,280.9329664,312.3965504,1.752,17292.98938
302.97456,57.5,30,129.55,17.5,5867.83378,1963.401882,246.5979896,34.54273251,676.4018449,667.8313956,551.88,266.331201,40.76028,1694.870778,342.4824928,3544.286707,597.69188,339.1295242,280.9329664,312.3965504,1.752,17429.124
302.97456,57.5,30,129.55,20,5837.779057,2595.695858,246.7689464,34.54141172,676.5574286,656.9299653,551.88,271.0664324,40.76028,1690.36446,340.8957655,3544.286707,597.69188,339.1295242,280.9329664,312.3965504,1.752,18019.42923
302.97456,57.5,30,129.55,22.5,5823.594809,3362.707042,246.8471746,34.54657591,676.4454799,653.5154165,551.88,273.6349194,40.76028,1688.253108,340.4063982,3544.286707,597.69188,339.1295242,280.9329664,312.3965504,1.752,18768.78083
302.97456,57.5,30,129.55,25,5816.676744,3186.146353,247.6801656,34.56462109,676.6074335,652.2952798,551.88,272.7502457,40.76028,1687.232256,340.1376035,3544.286707,597.69188,339.1295242,280.9329664,312.3965504,1.752,18582.92061
302.97456,60,30,129.55,15,5926.824396,1729.257978,246.9991346,34.5435147,676.5199859,708.9752581,551.88,256.5456129,40.76028,1703.728695,340.7648962,3544.286707,597.69188,353.8742861,280.9329664,312.3965504,1.752,17307.73414
302.97456,60,30,129.55,17.5,5867.83378,1963.401882,246.5979896,34.54273251,676.4018449,667.8313956,551.88,266.331201,40.76028,1694.870778,342.4824928,3544.286707,597.69188,353.8742861,280.9329664,312.3965504,1.752,17443.86877
302.97456,60,30,129.55,20,5837.779057,2595.695858,246.7689464,34.54141172,676.5574286,656.9299653,551.88,271.0664324,40.76028,1690.36446,340.8957655,3544.286707,597.69188,353.8742861,280.9329664,312.3965504,1.752,18034.174
302.97456,60,30,129.55,22.5,5823.594809,3362.707042,246.8471746,34.54657591,676.4454799,653.5154165,551.88,273.6349194,40.76028,1688.253108,340.4063982,3544.286707,597.69188,353.8742861,280.9329664,312.3965504,1.752,18783.52559
302.97456,60,30,129.55,25,5816.676744,3186.146353,247.6801656,34.56462109,676.6074335,652.2952798,551.88,272.7502457,40.76028,1687.232256,340.1376035,3544.286707,597.69188,353.8742861,280.9329664,312.3965504,1.752,18597.66537
302.97456,35,30,145,15,5939.211455,1822.0634,249.2123546,34.88308499,686.9863312,717.4818295,551.88,265.910748,40.76028,1705.562606,343.2241174,3928.116619,668.972,206.4266669,280.9329664,312.3965504,1.752,17755.77301
302.97456,35,30,145,17.5,5873.787072,2129.112958,249.3705093,34.8979504,687.253364,670.2336274,551.88,275.9884558,40.76028,1695.741067,343.7480991,3928.116619,668.972,206.4266669,280.9329664,312.3965504,1.752,17951.37019
302.97456,35,30,145,20,5838.47403,2688.594639,248.6781024,34.87720188,687.450055,657.2382516,551.88,282.0551189,40.76028,1690.470698,342.9349267,3928.116619,668.972,206.4266669,280.9329664,312.3965504,1.752,18462.01011
302.97456,35,30,145,22.5,5823.023004,4651.107219,249.0238988,34.88665738,687.270531,653.4875308,551.88,285.6466261,40.76028,1688.166699,342.3237971,3928.116619,668.972,206.4266669,280.9329664,312.3965504,1.752,20406.17305
302.97456,35,30,145,25,5816.372619,3679.926549,250.6148778,34.9344093,687.5132977,652.2870313,551.88,284.0550138,40.76028,1687.184959,342.4613574,3928.116619,668.972,206.4266669,280.9329664,312.3965504,1.752,19426.5872
302.97456,45,30,145,15,5939.211455,1822.0634,249.2123546,34.88308499,686.9863312,717.4818295,551.88,265.910748,40.76028,1705.562606,343.2241174,3928.116619,668.972,265.4057146,280.9329664,312.3965504,1.752,17814.75206
302.97456,45,30,145,17.5,5873.787072,2129.112958,249.3705093,34.8979504,687.253364,670.2336274,551.88,275.9884558,40.76028,1695.741067,343.7480991,3928.116619,668.972,265.4057146,280.9329664,312.3965504,1.752,18010.34923
302.97456,45,30,145,20,5838.47403,2688.594639,248.6781024,34.87720188,687.450055,657.2382516,551.88,282.0551189,40.76028,1690.470698,342.9349267,3928.116619,668.972,265.4057146,280.9329664,312.3965504,1.752,18520.98915
